County,State,Population,Uninsured
Autauga,Alabama,54264,5720
Baldwin,Alabama,184805,25515
Barbour,Alabama,24435,4223
Bibb,Alabama,21438,3238
Blount,Alabama,57155,7183
Butler,Alabama,20370,2438
Calhoun,Alabama,116487,16169
Chambers,Alabama,33721,5499
Cherokee,Alabama,25609,3640
Chilton,Alabama,43462,7269
Clarke,Alabama,25261,4373
Coffee,Alabama,48243,6078
Colbert,Alabama,53996,6337
Covington,Alabama,37446,5342
Cullman,Alabama,79723,11773
Dale,Alabama,47567,6378
Dallas,Alabama,43001,6672
DeKalb,Alabama,70576,11742
Elmore,Alabama,74541,8404
Escambia,Alabama,35758,8408
Etowah,Alabama,103071,16130
Franklin,Alabama,31454,5625
Geneva,Alabama,26569,4314
Houston,Alabama,101367,14769
Jackson,Alabama,52662,8812
Jefferson,Alabama,651329,85696
Lauderdale,Alabama,91839,11426
Lawrence,Alabama,33775,4485
Lee,Alabama,141655,17759
Limestone,Alabama,80780,10281
Macon,Alabama,20754,3039
Madison,Alabama,335933,42333
Marengo,Alabama,20452,2607
Marion,Alabama,29662,3875
Marshall,Alabama,93003,15936
Mobile,Alabama,406747,66451
Monroe,Alabama,22564,3679
Montgomery,Alabama,224246,31860
Morgan,Alabama,118466,19474
Pike,Alabama,32798,4103
Randolph,Alabama,22498,3264
Russell,Alabama,53608,9388
St. Clair,Alabama,82486,11247
Shelby,Alabama,196926,19751
Talladega,Alabama,79293,11622
Tallapoosa,Alabama,40840,5708
Tuscaloosa,Alabama,195169,24670
Walker,Alabama,65789,10031
Winston,Alabama,23873,3739
Anchorage Municipality,Alaska,284932,48014
Fairbanks North Star Borough,Alaska,93201,15165
Juneau City and Borough,Alaska,31602,5638
Kenai Peninsula Borough,Alaska,55035,12349
Matanuska-Susitna Borough,Alaska,90477,18001
Apache,Arizona,71647,17825
Cochise,Arizona,121126,16581
Coconino,Arizona,134290,28806
Gila,Arizona,52637,9520
Graham,Arizona,33631,6402
La Paz,Arizona,20170,3097
Maricopa,Arizona,3849059,669326
Mohave,Arizona,194670,33701
Navajo,Arizona,105206,18528
Pima,Arizona,969969,144053
Pinal,Arizona,362359,58030
Santa Cruz,Arizona,47195,10575
Yavapai,Arizona,209596,32805
Yuma,Arizona,190281,41473
Ashley,Arkansas,21456,3352
Baxter,Arkansas,40762,5678
Benton,Arkansas,225864,34472
Boone,Arkansas,36677,6064
Carroll,Arkansas,27325,5518
Clark,Arkansas,22518,3513
Cleburne,Arkansas,25554,4802
Columbia,Arkansas,24253,3450
Conway,Arkansas,21003,3435
Craighead,Arkansas,97299,17057
Crawford,Arkansas,61435,11455
Crittenden,Arkansas,49883,8755
Faulkner,Arkansas,115159,15693
Garland,Arkansas,95033,18485
Greene,Arkansas,42189,7191
Hempstead,Arkansas,22238,4401
Hot Spring,Arkansas,31485,5067
Independence,Arkansas,36408,6515
Jefferson,Arkansas,71834,10202
Johnson,Arkansas,25522,3962
Logan,Arkansas,21893,3595
Lonoke,Arkansas,67540,9801
Miller,Arkansas,42461,7879
Mississippi,Arkansas,45135,7881
Ouachita,Arkansas,25342,3200
Phillips,Arkansas,21077,3121
Poinsett,Arkansas,24111,4807
Polk,Arkansas,20433,4357
Pope,Arkansas,61943,9965
Pulaski,Arkansas,380231,60088
St. Francis,Arkansas,24149,4307
Saline,Arkansas,108308,13448
Sebastian,Arkansas,125332,24114
Union,Arkansas,40779,6222
Washington,Arkansas,206073,39264
White,Arkansas,77225,12745
Yell,Arkansas,21763,4133
Alameda,California,1521060,195466
Amador,California,33087,4141
Butte,California,218342,37281
Calaveras,California,44644,4938
Colusa,California,21206,4705
Contra Costa,California,1060548,129753
Del Norte,California,24939,3562
El Dorado,California,179871,19286
Fresno,California,929419,189143
Glenn,California,27772,5615
Humboldt,California,133889,25909
Imperial,California,165133,34294
Kern,California,818660,169363
Kings,California,131188,24677
Lake,California,63669,12299
Lassen,California,23493,2448
Los Angeles,California,9820623,2223240
Madera,California,143386,30451
Marin,California,248527,22223
Mendocino,California,86531,15040
Merced,California,256788,49609
Monterey,California,402276,86644
Napa,California,135828,21296
Nevada,California,97627,15103
Orange,California,3037778,531809
Placer,California,353749,36969
Plumas,California,19501,3262
Riverside,California,2212594,453398
Sacramento,California,1418144,207280
San Benito,California,55978,8833
San Bernardino,California,2024485,425876
San Diego,California,3040377,524610
San Francisco,California,810767,90934
San Joaquin,California,686298,120251
San Luis Obispo,California,263987,39351
San Mateo,California,725172,82192
Santa Barbara,California,420348,79151
Santa Clara,California,1802611,212244
Santa Cruz,California,263622,37937
Shasta,California,176626,27799
Siskiyou,California,44318,6550
Solano,California,400109,50682
Sonoma,California,483558,69809
Stanislaus,California,514864,91385
Sutter,California,93299,17519
Tehama,California,62780,10664
Tulare,California,443401,98610
Tuolumne,California,51198,7162
Ventura,California,822788,134107
Yolo,California,200907,25170
Yuba,California,70002,11672
Adams,Colorado,447761,96016
Arapahoe,Colorado,580170,94857
Boulder,Colorado,298465,32797
Broomfield,Colorado,56960,5255
Delta,Colorado,29538,6331
Denver,Colorado,612247,107014
Douglas,Colorado,291690,18030
Eagle,Colorado,51775,9013
Elbert,Colorado,23111,2773
El Paso,Colorado,605898,84640
Fremont,Colorado,35988,4463
Garfield,Colorado,55577,16982
Jefferson,Colorado,533894,64456
La Plata,Colorado,51336,9268
Larimer,Colorado,303044,37162
Logan,Colorado,22147,4247
Mesa,Colorado,145943,25318
Montezuma,Colorado,25176,5427
Montrose,Colorado,40465,8204
Morgan,Colorado,27739,5240
Pueblo,Colorado,156558,22186
